2025-10-24 13:39:41,475 - [INFO] - 步骤 1: 初始化投标优化模型...
2025-10-24 13:39:41,476 - [INFO] - 步驟 2: 執行神經動力學自適應網格投標策略優化...
2025-10-24 13:39:41,476 - [INFO] - --- 開始執行神經動力學自適應網格投標策略優化（模式: full）---
2025-10-24 13:39:41,490 - [INFO] - ✅ 数据输入配置:
2025-10-24 13:39:41,490 - [INFO] -   DAM（日前市场）: 'ensemble' (预测输出)
2025-10-24 13:39:41,491 - [INFO] -   RTM（实时市场）: 'actual' (ensemble预测)
2025-10-24 13:39:41,491 - [INFO] - ✅ 价格数据加载完成:
2025-10-24 13:39:42,610 - [INFO] - 正在精细化门槛区域 1/18: (354.00, 355.00)，步长: 0.2
2025-10-24 13:39:42,611 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:42,653 - [INFO] -   门槛区域 1 完成，成功优化 5 个点
2025-10-24 13:39:42,653 - [INFO] - 正在精细化门槛区域 2/18: (355.00, 356.00)，步长: 0.2
2025-10-24 13:39:42,653 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:42,662 - [INFO] -   已完成 20 个细化点
2025-10-24 13:39:42,706 - [INFO] -   门槛区域 2 完成，成功优化 10 个点
2025-10-24 13:39:42,707 - [INFO] - 正在精细化门槛区域 3/18: (357.00, 358.00)，步长: 0.2
2025-10-24 13:39:42,707 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:42,750 - [INFO] -   已完成 40 个细化点
2025-10-24 13:39:42,768 - [INFO] -   门槛区域 3 完成，成功优化 5 个点
2025-10-24 13:39:42,768 - [INFO] - 正在精细化门槛区域 4/18: (358.00, 359.00)，步长: 0.2
2025-10-24 13:39:42,768 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:42,794 - [INFO] -   已完成 60 个细化点
2025-10-24 13:39:42,801 - [INFO] -   门槛区域 4 完成，成功优化 10 个点
2025-10-24 13:39:42,802 - [INFO] - 正在精细化门槛区域 5/18: (359.00, 360.00)，步长: 0.2
2025-10-24 13:39:42,802 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:42,875 - [INFO] -   已完成 80 个细化点
2025-10-24 13:39:42,875 - [INFO] -   门槛区域 5 完成，成功优化 10 个点
2025-10-24 13:39:42,875 - [INFO] - 正在精细化门槛区域 6/18: (361.00, 362.00)，步长: 0.2
2025-10-24 13:39:42,875 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:42,921 - [INFO] -   门槛区域 6 完成，成功优化 5 个点
2025-10-24 13:39:42,921 - [INFO] - 正在精细化门槛区域 7/18: (365.00, 366.00)，步长: 0.2
2025-10-24 13:39:42,921 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:43,010 - [INFO] -   已完成 100 个细化点
2025-10-24 13:39:43,063 - [INFO] -   门槛区域 7 完成，成功优化 5 个点
2025-10-24 13:39:43,063 - [INFO] - 正在精细化门槛区域 8/18: (369.00, 370.00)，步长: 0.2
2025-10-24 13:39:43,063 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:43,106 - [INFO] -   已完成 120 个细化点
2025-10-24 13:39:43,173 - [INFO] -   门槛区域 8 完成，成功优化 5 个点
2025-10-24 13:39:43,174 - [INFO] - 正在精细化门槛区域 9/18: (371.00, 372.00)，步长: 0.2
2025-10-24 13:39:43,174 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:43,231 - [INFO] -   已完成 140 个细化点
2025-10-24 13:39:43,242 - [INFO] -   门槛区域 9 完成，成功优化 5 个点
2025-10-24 13:39:43,242 - [INFO] - 正在精细化门槛区域 10/18: (372.00, 373.00)，步长: 0.2
2025-10-24 13:39:43,242 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:43,277 - [INFO] -   已完成 160 个细化点
2025-10-24 13:39:43,277 - [INFO] -   门槛区域 10 完成，成功优化 10 个点
